#{"t_start": 1646496712.6493132, "env_id": "LunarLander-v2"}
r,l,t
-63.247869,1000,374.267095
207.526242,405,374.602483
183.869622,466,375.790598
265.203859,329,376.045134
181.641106,494,376.555133
6.467981,198,376.665126
-87.485613,335,376.891138
-20.641576,272,377.059108
-133.604538,585,378.515509
-29.057464,235,378.673088
22.809386,1000,379.722512
-7.589402,280,379.907989
245.15403,477,381.090959
215.477797,479,381.457697
-108.600093,420,381.748199
-160.820385,738,383.272407
-75.603152,1000,384.794235
-110.327306,463,385.148713
212.532253,375,385.435589
20.668956,301,386.454454
-34.517613,288,386.656671
226.73082,321,386.859529
-91.119475,1000,387.892207
-76.575129,393,389.074555
-72.800767,1000,389.990477
-154.835881,703,390.636093
196.689683,455,391.818624
-30.980093,264,391.998067
-48.03389,279,392.179487
216.366315,409,392.483666
155.241917,944,394.085555
-22.103351,253,394.263725
216.401368,546,394.747897
-51.633584,320,394.939694
237.326289,432,395.313598
-180.680361,938,396.985722
-191.894805,970,398.044475
-57.671138,1000,400.054449
-103.514777,490,400.570488
-78.139519,260,400.727332
-72.468639,295,400.919816
122.120942,662,402.354474
-48.601017,1000,403.286852
-47.065649,1000,405.25553
-130.530216,1000,406.178511
-4.277422,226,406.316627
-208.297607,993,408.44596
195.758698,408,408.726165
-186.499609,916,409.663435
239.844175,410,409.978523
-43.147002,1000,411.947975
-167.520718,849,412.774813
-78.993801,1000,414.667716
242.500293,348,414.933636
-148.64745,783,415.620512
203.604683,843,417.647495
-2.923748,206,417.768013
-40.454682,242,417.915904
216.94114,344,418.174116
159.745982,523,418.75949
-33.286816,221,419.724591
192.006804,570,420.342505
-65.097334,1000,421.376503
181.353003,455,422.581497
-47.778175,266,422.748552
-95.694395,340,423.004681
239.735683,420,423.37196
219.735523,599,423.810466
204.640299,420,424.986639
-110.14848,399,425.325794
-65.552476,1000,426.32409
195.956129,412,426.687307
208.126141,419,427.856498
-80.633372,1000,428.958533
65.477144,1000,430.565434
-149.200382,877,431.618639
-90.878736,1000,433.301478
-82.718741,409,433.653475
-152.846611,885,434.545116
239.776866,422,434.884058
-51.889001,244,435.031663
-64.798619,379,436.183474
218.112965,417,436.534945
196.386939,414,436.911627
225.781073,360,437.190881
202.553771,426,437.529506
-58.918937,430,438.707602
171.97384,600,439.211483
139.276372,997,440.324546
-54.163075,312,441.354829
213.687603,408,441.688705
196.04708,373,441.951872
217.252777,369,442.190492
206.155659,289,442.391505
180.750734,333,442.608549
-73.868013,441,443.752552
186.003606,593,444.32181
